Freq,R
9.54992586021433e+001,8.44122988743673e-001,-1.48633328918036e+002
9.77237220955808e+001,8.99225774413680e-001,-1.48043921606963e+002
9.99999999999997e+001,9.56185805091555e-001,-1.47448516528621e+002
1.02329299228075e+002,1.01504025169296e+000,-1.46847312386995e+002
1.04712854805090e+002,1.07582534423079e+000,-1.46240519982763e+002
1.07151930523760e+002,1.13857625726397e+000,-1.45628362052892e+002
1.09647819614318e+002,1.20332699521996e+000,-1.45011073055231e+002
1.12201845430196e+002,1.27011027828844e+000,-1.44388898897033e+002
1.14815362149688e+002,1.33895742961418e+000,-1.43762096606728e+002
1.17489755493953e+002,1.40989826454053e+000,-1.43130933948760e+002
1.20226443461741e+002,1.48296098267143e+000,-1.42495688981762e+002
1.23026877081238e+002,1.55817206352717e+000,-1.41856649560885e+002
1.25892541179416e+002,1.63555616656897e+000,-1.41214112785593e+002
1.28824955169313e+002,1.71513603635694e+000,-1.40568384394802e+002
1.31825673855640e+002,1.79693241358673e+000,-1.39919778111729e+002
1.34896288259165e+002,1.88096395272090e+000,-1.39268614941388e+002
1.38038426460288e+002,1.96724714689254e+000,-1.38615222424146e+002
1.41253754462275e+002,2.05579626071075e+000,-1.37959933849245e+002
1.44543977074592e+002,2.14662327154047e+000,-1.37303087432637e+002
1.47910838816820e+002,2.23973781976475e+000,-1.36645025463897e+002
1.51356124843620e+002,2.33514716846428e+000,-1.35986093427324e+002
1.54881661891248e+002,2.43285617287085e+000,-1.35326639102653e+002
1.58489319246111e+002,2.53286725986635e+000,-1.34667011651030e+002
1.62181009735892e+002,2.63518041771116e+000,-1.34007560692088e+002
1.65958690743755e+002,2.73979319609388e+000,-1.33348635378063e+002
1.69824365246174e+002,2.84670071650212e+000,-1.32690583470929e+002
1.73780082874937e+002,2.95589569282120e+000,-1.32033750428491e+002
1.77827941003892e+002,3.06736846197633e+000,-1.31378478505257e+002
1.81970085860998e+002,3.18110702434548e+000,-1.30725105873771e+002
1.86208713666286e+002,3.29709709358600e+000,-1.30073965771795e+002
1.90546071796324e+002,3.41532215543874e+000,-1.29425385680468e+002
1.94984459975804e+002,3.53576353500166e+000,-1.28779686538193e+002
1.99526231496887e+002,3.65840047189928e+000,-1.28137181994598e+002
2.04173794466952e+002,3.78321020271810e+000,-1.27498177708466e+002
2.08929613085403e+002,3.91016805003014e+000,-1.26862970693071e+002
2.13796208950222e+002,4.03924751728793e+000,-1.26231848711796e+002
2.18776162394954e+002,4.17042038884580e+000,-1.25605089726456e+002
2.23872113856833e+002,4.30365683434232e+000,-1.24982961400153e+002
2.29086765276776e+002,4.43892551666931e+000,-1.24365720655999e+002
2.34422881531991e+002,4.57619370275166e+000,-1.23753613292497e+002
2.39883291901948e+002,4.71542737637061e+000,-1.23146873655861e+002
2.45470891568502e+002,4.85659135227900e+000,-1.22545724369084e+002
2.51188643150957e+002,4.99964939088090e+000,-1.21950376117071e+002
2.57039578276885e+002,5.14456431277835e+000,-1.21361027486745e+002
2.63026799189537e+002,5.29129811252429e+000,-1.20777864860643e+002
2.69153480392690e+002,5.43981207096212e+000,-1.20201062362141e+002
2.75422870333816e+002,5.59006686557762e+000,-1.19630781850158e+002
2.81838293126444e+002,5.74202267833765e+000,-1.19067172960896e+002
2.88403150312659e+002,5.89563930054110e+000,-1.18510373193976e+002
2.95120922666637e+002,6.05087623425971e+000,-1.17960508040102e+002
3.01995172040200e+002,6.20769278999945e+000,-1.17417691147290e+002
3.09029543251358e+002,6.36604818026638e+000,-1.16882024522566e+002
3.16227766016837e+002,6.52590160877241e+000,-1.16353598765975e+002
3.23593656929627e+002,6.68721235506804e+000,-1.15832493333751e+002
3.31131121482590e+002,6.84993985443696e+000,-1.15318776827451e+002
3.38844156139201e+002,7.01404377293502e+000,-1.14812507305941e+002
3.46736850452530e+002,7.17948407749892e+000,-1.14313732617164e+002
3.54813389233574e+002,7.34622110109135e+000,-1.13822490746707e+002
3.63078054770100e+002,7.51421560288686e+000,-1.13338810180303e+002
3.71535229097171e+002,7.68342882353680e+000,-1.12862710277519e+002
3.80189396320559e+002,7.85382253558272e+000,-1.12394201654031e+002
3.89045144994279e+002,8.02535908911498e+000,-1.11933286570032e+002
3.98107170553495e+002,8.19800145279743e+000,-1.11479959322475e+002
4.07380277804111e+002,8.37171325039958e+000,-1.11034206639025e+002
4.16869383470333e+002,8.54645879299544e+000,-1.10596008071754e+002
4.26579518801591e+002,8.72220310700237e+000,-1.10165336388785e+002
4.36515832240164e+002,8.89891195824521e+000,-1.09742157962259e+002
4.46683592150961e+002,9.07655187223962e+000,-1.09326433151158e+002
4.57088189614873e+002,9.25509015089490e+000,-1.08918116677687e+002
4.67735141287196e+002,9.43449488584102e+000,-1.08517157996054e+002
4.78630092322636e+002,9.61473496858632e+000,-1.08123501652665e+002
4.89778819368444e+002,9.79578009771260e+000,-1.07737087636856e+002
5.01187233627270e+002,9.97760078331310e+000,-1.07357851721450e+002
5.12861383991362e+002,1.01601683488757e+001,-1.06985725792536e+002
5.24807460249770e+002,1.03434549308100e+001,-1.06620638167975e+002
5.37031796370250e+002,1.05274334758106e+001,-1.06262513904270e+002
5.49540873857622e+002,1.07120777362454e+001,-1.05911275091516e+002
5.62341325190346e+002,1.08973622637471e+001,-1.05566841136247e+002
5.75439937337154e+002,1.10832624011824e+001,-1.05229129032075e+002
5.88843655355586e+002,1.12697542731645e+001,-1.04898053618090e+002
6.02559586074355e+002,1.14568147752634e+001,-1.04573527825061e+002
6.16595001861479e+002,1.16444215620666e+001,-1.04255462909540e+002
6.30957344480190e+002,1.18325530342269e+001,-1.03943768676000e+002
6.45654229034652e+002,1.20211883246314e+001,-1.03638353687230e+002
6.60693448007592e+002,1.22103072838152e+001,-1.03339125463185e+002
6.76082975391978e+002,1.23998904647336e+001,-1.03045990668589e+002
6.91830970918933e+002,1.25899191070012e+001,-1.02758855289570e+002
7.07945784384134e+002,1.27803751206965e+001,-1.02477624799644e+002
7.24435960074986e+002,1.29712410698246e+001,-1.02202204315394e+002
7.41310241300914e+002,1.31625001555203e+001,-1.01932498742180e+002
7.58577575029180e+002,1.33541361990712e+001,-1.01668412910263e+002
7.76247116628688e+002,1.35461336248288e+001,-1.01409851701690e+002
7.94328234724277e+002,1.37384774430738e+001,-1.01156720168328e+002
8.12830516164095e+002,1.39311532328921e+001,-1.00908923641417e+002
8.31763771102666e+002,1.41241471251143e+001,-1.00666367833017e+002
8.51138038202372e+002,1.43174457853657e+001,-1.00428958929725e+002
8.70963589956076e+002,1.45110363972679e+001,-1.00196603679023e+002
8.91250938133741e+002,1.47049066458303e+001,-9.99692094686287e+001
9.12010839355905e+002,1.48990447010629e+001,-9.97466843991971e+001
9.33254300796986e+002,1.50934392018394e+001,-9.95289373507182e+001
9.54992586021431e+002,1.52880792400362e+001,-9.93158780429577e+001
9.77237220955805e+002,1.54829543449674e+001,-9.91074170902598e+001
9.99999999999994e+002,1.56780544681348e+001,-9.89034660510342e+001
1.02329299228075e+003,1.58733699683075e+001,-9.87039374722324e+001
1.04712854805089e+003,1.60688915969435e+001,-9.85087449291095e+001
1.07151930523760e+003,1.62646104839643e+001,-9.83178030605550e+001
1.09647819614318e+003,1.64605181238885e+001,-9.81310276002668e+001
1.12201845430196e+003,1.66566063623313e+001,-9.79483354040277e+001
1.14815362149688e+003,1.68528673828741e+001,-9.77696444733353e+001
1.17489755493952e+003,1.70492936943042e+001,-9.75948739756236e+001
1.20226443461741e+003,1.72458781182285e+001,-9.74239442613036e+001
1.23026877081237e+003,1.74426137770575e+001,-9.72567768778383e+001
1.25892541179416e+003,1.76394940823599e+001,-9.70932945810590e+001
1.28824955169313e+003,1.78365127235836e+001,-9.69334213439164e+001
1.31825673855640e+003,1.80336636571404e+001,-9.67770823628520e+001
1.34896288259165e+003,1.82309410958486e+001,-9.66242040619655e+001
1.38038426460288e+003,1.84283394987294e+001,-9.64747140951421e+001
1.41253754462275e+003,1.86258535611501e+001,-9.63285413462972e+001
1.44543977074592e+003,1.88234782053086e+001,-9.61856159278841e+001
1.47910838816820e+003,1.90212085710514e+001,-9.60458691778070e+001
1.51356124843620e+003,1.92190400070188e+001,-9.59092336548658e+001
1.54881661891247e+003,1.94169680621090e+001,-9.57756431328591e+001
1.58489319246110e+003,1.96149884772541e+001,-9.56450325934585e+001
1.62181009735892e+003,1.98130971774988e+001,-9.55173382179639e+001
1.65958690743755e+003,2.00112902643757e+001,-9.53924973780423e+001
1.69824365246173e+003,2.02095640085666e+001,-9.52704486255421e+001
1.73780082874936e+003,2.04079148428439e+001,-9.51511316814756e+001
1.77827941003891e+003,2.06063393552821e+001,-9.50344874242520e+001
1.81970085860997e+003,2.08048342827324e+001,-9.49204578772361e+001
1.86208713666286e+003,2.10033965045514e+001,-9.48089861957109e+001
1.90546071796323e+003,2.12020230365759e+001,-9.47000166533050e+001
1.94984459975803e+003,2.14007110253371e+001,-9.45934946279530e+001
1.99526231496887e+003,2.15994577425034e+001,-9.44893665874470e+001
2.04173794466952e+003,2.17982605795476e+001,-9.43875800746308e+001
2.08929613085403e+003,2.19971170426279e+001,-9.42880836922905e+001
2.13796208950222e+003,2.21960247476768e+001,-9.41908270877867e+001
2.18776162394954e+003,2.23949814156898e+001,-9.40957609374732e+001
2.23872113856832e+003,2.25939848682075e+001,-9.40028369309418e+001
2.29086765276776e+003,2.27930330229831e+001,-9.39120077551306e+001
2.34422881531991e+003,2.29921238898292e+001,-9.38232270783282e+001
2.39883291901947e+003,2.31912555666371e+001,-9.37364495341108e+001
2.45470891568501e+003,2.33904262355618e+001,-9.36516307052362e+001
2.51188643150956e+003,2.35896341593669e+001,-9.35687271075218e+001
2.57039578276885e+003,2.37888776779227e+001,-9.34876961737359e+001
2.63026799189536e+003,2.39881552048524e+001,-9.34084962375190e+001
2.69153480392690e+003,2.41874652243196e+001,-9.33310865173618e+001
2.75422870333815e+003,2.43868062879529e+001,-9.32554271006508e+001
2.81838293126443e+003,2.45861770119004e+001,-9.31814789278075e+001
2.88403150312659e+003,2.47855760740110e+001,-9.31092037765309e+001
2.95120922666636e+003,2.49850022111360e+001,-9.30385642461595e+001
3.01995172040199e+003,2.51844542165465e+001,-9.29695237421637e+001
3.09029543251357e+003,2.53839309374619e+001,-9.29020464607839e+001
3.16227766016836e+003,2.55834312726860e+001,-9.28360973738217e+001
3.23593656929626e+003,2.57829541703442e+001,-9.27716422135930e+001
3.31131121482589e+003,2.59824986257198e+001,-9.27086474580518e+001
3.38844156139200e+003,2.61820636791841e+001,-9.26470803160958e+001
3.46736850452529e+003,2.63816484142170e+001,-9.25869087130529e+001
3.54813389233573e+003,2.65812519555138e+001,-9.25281012763599e+001
3.63078054770099e+003,2.67808734671755e+001,-9.24706273214349e+001
3.71535229097170e+003,2.69805121509778e+001,-9.24144568377521e+001
3.80189396320558e+003,2.71801672447171e+001,-9.23595604751167e+001
3.89045144994278e+003,2.73798380206290e+001,-9.23059095301432e+001
3.98107170553494e+003,2.75795237838772e+001,-9.22534759329490e+001
4.07380277804110e+003,2.77792238711086e+001,-9.22022322340492e+001
4.16869383470332e+003,2.79789376490739e+001,-9.21521515914674e+001
4.26579518801589e+003,2.81786645133081e+001,-9.21032077580586e+001
4.36515832240162e+003,2.83784038868714e+001,-9.20553750690410e+001
4.46683592150960e+003,2.85781552191457e+001,-9.20086284297449e+001
4.57088189614871e+003,2.87779179846849e+001,-9.19629433035720e+001
4.67735141287194e+003,2.89776916821179e+001,-9.19182957001658e+001
4.78630092322634e+003,2.91774758331004e+001,-9.18746621637947e+001
4.89778819368442e+003,2.93772699813145e+001,-9.18320197619445e+001
5.01187233627268e+003,2.95770736915134e+001,-9.17903460741229e+001
5.12861383991361e+003,2.97768865486105e+001,-9.17496191808663e+001
5.24807460249768e+003,2.99767081568093e+001,-9.17098176529581e+001
5.37031796370248e+003,3.01765381387737e+001,-9.16709205408477e+001
5.49540873857620e+003,3.03763761348367e+001,-9.16329073642729e+001
5.62341325190344e+003,3.05762218022456e+001,-9.15957581020863e+001
5.75439937337152e+003,3.07760748144423e+001,-9.15594531822677e+001
5.88843655355584e+003,3.09759348603778e+001,-9.15239734721532e+001
6.02559586074353e+003,3.11758016438580e+001,-9.14893002688363e+001
6.16595001861477e+003,3.13756748829216e+001,-9.14554152897696e+001
6.30957344480188e+003,3.15755543092471e+001,-9.14223006635615e+001
6.45654229034650e+003,3.17754396675882e+001,-9.13899389209451e+001
6.60693448007590e+003,3.19753307152366e+001,-9.13583129859387e+001
6.76082975391976e+003,3.21752272215115e+001,-9.13274061671880e+001
6.91830970918931e+003,3.23751289672734e+001,-9.12972021494776e+001
7.07945784384132e+003,3.25750357444629e+001,-9.12676849854309e+001
7.24435960074984e+003,3.27749473556621e+001,-9.12388390873656e+001
7.41310241300911e+003,3.29748636136787e+001,-9.12106492193332e+001
7.58577575029177e+003,3.31747843411514e+001,-9.11831004893195e+001
7.76247116628685e+003,3.33747093701760e+001,-9.11561783416064e+001
7.94328234724275e+003,3.35746385419512e+001,-9.11298685492971e+001
8.12830516164092e+003,3.37745717064435e+001,-9.11041572070011e+001
8.31763771102664e+003,3.39745087220712e+001,-9.10790307236720e+001
8.51138038202369e+003,3.41744494554051e+001,-9.10544758155995e+001
8.70963589956073e+003,3.43743937808872e+001,-9.10304794995493e+001
8.91250938133738e+003,3.45743415805658e+001,-9.10070290860507e+001
9.12010839355902e+003,3.47742927438461e+001,-9.09841121728314e+001
9.33254300796983e+003,3.49742471672570e+001,-9.09617166383924e+001
9.54992586021428e+003,3.51742047542326e+001,-9.09398306357156e+001
9.77237220955802e+003,3.53741654149084e+001,-9.09184425861169e+001
9.99999999999991e+003,3.55741290659311e+001,-9.08975411732292e+001
1.02329299228075e+004,3.57740956302831e+001,-9.08771153371141e+001
1.04712854805089e+004,3.59740650371195e+001,-9.08571542685046e+001
1.07151930523760e+004,3.61740372216185e+001,-9.08376474031736e+001
1.09647819614318e+004,3.63740121248448e+001,-9.08185844164242e+001
1.12201845430195e+004,3.65739896936245e+001,-9.07999552177035e+001
1.14815362149687e+004,3.67739698804337e+001,-9.07817499453297e+001
1.17489755493952e+004,3.69739526432975e+001,-9.07639589613424e+001
1.20226443461740e+004,3.71739379457016e+001,-9.07465728464588e+001
1.23026877081237e+004,3.73739257565151e+001,-9.07295823951466e+001
1.25892541179416e+004,3.75739160499254e+001,-9.07129786108072e+001
1.28824955169312e+004,3.77739088053831e+001,-9.06967527010569e+001
1.31825673855640e+004,3.79739040075592e+001,-9.06808960731256e+001
1.34896288259164e+004,3.81739016463126e+001,-9.06654003293381e+001
1.38038426460287e+004,3.83739017166692e+001,-9.06502572627256e+001
1.41253754462274e+004,3.85739042188116e+001,-9.06354588527016e+001
1.44543977074591e+004,3.87739091580795e+001,-9.06209972608559e+001
1.47910838816819e+004,3.89739165449815e+001,-9.06068648268414e+001
1.51356124843619e+004,3.91739263952176e+001,-9.05930540643386e+001
1.54881661891247e+004,3.93739387297130e+001,-9.05795576571233e+001
1.58489319246110e+004,3.95739535746622e+001,-9.05663684552183e+001
1.62181009735891e+004,3.97739709615856e+001,-9.05534794711334e+001
1.65958690743755e+004,3.99739909273959e+001,-9.05408838761824e+001
1.69824365246173e+004,4.01740135144771e+001,-9.05285749968874e+001
1.73780082874936e+004,4.03740387707745e+001,-9.05165463114694e+001
1.77827941003891e+004,4.05740667498969e+001,-9.05047914464076e+001
1.81970085860997e+004,4.07740975112305e+001,-9.04933041730773e+001
1.86208713666285e+004,4.09741311200651e+001,-9.04820784044758e+001
1.90546071796323e+004,4.11741676477329e+001,-9.04711081920032e+001
1.94984459975803e+004,4.13742071717607e+001,-9.04603877223349e+001
1.99526231496886e+004,4.15742497760340e+001,-9.04499113143396e+001
2.04173794466951e+004,4.17742955509757e+001,-9.04396734160929e+001
2.08929613085402e+004,4.19743445937387e+001,-9.04296686019503e+001
2.13796208950221e+004,4.21743970084116e+001,-9.04198915696704e+001
2.18776162394953e+004,4.23744529062410e+001,-9.04103371376241e+001
2.23872113856832e+004,4.25745124058673e+001,-9.04010002420573e+001
2.29086765276775e+004,4.27745756335774e+001,-9.03918759344137e+001
2.34422881531990e+004,4.29746427235731e+001,-9.03829593787203e+001
2.39883291901947e+004,4.31747138182563e+001,-9.03742458490369e+001
2.45470891568501e+004,4.33747890685325e+001,-9.03657307269536e+001
2.51188643150956e+004,4.35748686341308e+001,-9.03574094991462e+001
2.57039578276884e+004,4.37749526839448e+001,-9.03492777550082e+001
2.63026799189536e+004,4.39750413963909e+001,-9.03413311842930e+001
2.69153480392689e+004,4.41751349597884e+001,-9.03335655748556e+001
2.75422870333814e+004,4.43752335727603e+001,-9.03259768104166e+001
2.81838293126443e+004,4.45753374446557e+001,-9.03185608683827e+001
2.88403150312658e+004,4.47754467959954e+001,-9.03113138177314e+001
2.95120922666636e+004,4.49755618589414e+001,-9.03042318169110e+001
3.01995172040199e+004,4.51756828777914e+001,-9.02973111118296e+001
3.09029543251356e+004,4.53758101094983e+001,-9.02905480338559e+001
3.16227766016835e+004,4.55759438242183e+001,-9.02839389978821e+001
3.23593656929625e+004,4.57760843058854e+001,-9.02774805004180e+001
3.31131121482588e+004,4.59762318528170e+001,-9.02711691177597e+001
3.38844156139199e+004,4.61763867783492e+001,-9.02650015041482e+001
3.46736850452528e+004,4.63765494115046e+001,-9.02589743900198e+001
3.54813389233572e+004,4.65767200976936e+001,-9.02530845802661e+001
3.63078054770098e+004,4.67768991994511e+001,-9.02473289525467e+001
3.71535229097169e+004,4.69770870972092e+001,-9.02417044556324e+001
3.80189396320557e+004,4.71772841901089e+001,-9.02362081077926e+001
3.89045144994277e+004,4.73774908968519e+001,-9.02308369952103e+001
3.98107170553493e+004,4.75777076565939e+001,-9.02255882704473e+001
4.07380277804108e+004,4.77779349298821e+001,-9.02204591509461e+001
4.16869383470331e+004,4.79781731996387e+001,-9.02154469175078e+001
4.26579518801588e+004,4.81784229721925e+001,-9.02105489129321e+001
4.36515832240161e+004,4.83786847783606e+001,-9.02057625405382e+001
4.46683592150958e+004,4.85789591745832e+001,-9.02010852628114e+001
4.57088189614870e+004,4.87792467441133e+001,-9.01965146000873e+001
4.67735141287193e+004,4.89795480982640e+001,-9.01920481292093e+001
4.78630092322633e+004,4.91798638777169e+001,-9.01876834822331e+001
4.89778819368441e+004,4.93801947538934e+001,-9.01834183452071e+001
5.01187233627267e+004,4.95805414303928e+001,-9.01792504569322e+001
5.12861383991359e+004,4.97809046444994e+001,-9.01751776077520e+001
5.24807460249767e+004,4.99812851687632e+001,-9.01711976383965e+001
5.37031796370247e+004,5.01816838126564e+001,-9.01673084388298e+001
5.49540873857619e+004,5.03821014243106e+001,-9.01635079471493e+001
5.62341325190343e+004,5.05825388923371e+001,-9.01597941484647e+001
5.75439937337151e+004,5.07829971477360e+001,-9.01561650738550e+001
5.88843655355583e+004,5.09834771658971e+001,-9.01526187993204e+001
6.02559586074351e+004,5.11839799686972e+001,-9.01491534447522e+001
6.16595001861475e+004,5.13845066266995e+001,-9.01457671729364e+001
6.30957344480186e+004,5.15850582614589e+001,-9.01424581886087e+001
6.45654229034648e+004,5.17856360479387e+001,-9.01392247374634e+001
6.60693448007589e+004,5.19862412170443e+001,-9.01360651052556e+001
6.76082975391974e+004,5.21868750582802e+001,-9.01329776168803e+001
6.91830970918929e+004,5.23875389225346e+001,-9.01299606354714e+001
7.07945784384130e+004,5.25882342249999e+001,-9.01270125615754e+001
7.24435960074982e+004,5.27889624482348e+001,-9.01241318322490e+001
7.41310241300909e+004,5.29897251453750e+001,-9.01213169202713e+001
7.58577575029175e+004,5.31905239434997e+001,-9.01185663333346e+001
7.76247116628683e+004,5.33913605471624e+001,-9.01158786132230e+001
7.94328234724272e+004,5.35922367420941e+001,-9.01132523350888e+001
8.12830516164090e+004,5.37931543990858e+001,-9.01106861066310e+001
8.31763771102661e+004,5.39941154780622e+001,-9.01081785674224e+001
8.51138038202367e+004,5.41951220323539e+001,-9.01057283881604e+001
8.70963589956071e+004,5.43961762131790e+001,-9.01033342699598e+001
8.91250938133735e+004,5.45972802743445e+001,-9.01009949436882e+001
9.12010839355899e+004,5.47984365771794e+001,-9.00987091692540e+001
9.33254300796980e+004,5.49996475957094e+001,-9.00964757349824e+001
9.54992586021425e+004,5.52009159220883e+001,-9.00942934569695e+001
9.77237220955799e+004,5.54022442722972e+001,-9.00921611784571e+001
9.99999999999988e+004,5.56036354921253e+001,-9.00900777692039e+001
1.02329299228074e+005,5.58050925634484e+001,-9.00880421249226e+001
1.04712854805089e+005,5.60066186108196e+001,-9.00860531666216e+001
1.07151930523759e+005,5.62082169083877e+001,-9.00841098401621e+001
1.09647819614317e+005,5.64098908871626e+001,-9.00822111155692e+001
1.12201845430195e+005,5.66116441426433e+001,-9.00803559865586e+001
1.14815362149687e+005,5.68134804428303e+001,-9.00785434700019e+001
1.17489755493952e+005,5.70154037366407e+001,-9.00767726053834e+001
