x-axis,IN,OUT
second,Volt,Volt
-7.82000E-03,+5.28125000E+00,-5.91992187E+00
-7.80000E-03,+5.32031250E+00,-5.94921875E+00
-7.78000E-03,+5.35937500E+00,-5.98828125E+00
-7.76000E-03,+5.39843750E+00,-6.02734375E+00
-7.74000E-03,+5.43750000E+00,-6.07617187E+00
-7.72000E-03,+5.47656250E+00,-6.11523437E+00
-7.70000E-03,+5.51562500E+00,-6.15429687E+00
-7.68000E-03,+5.55468750E+00,-6.19335937E+00
-7.66000E-03,+5.58398437E+00,-6.23242187E+00
-7.64000E-03,+5.62304687E+00,-6.27148437E+00
-7.62000E-03,+5.66210937E+00,-6.31054687E+00
-7.60000E-03,+5.69140625E+00,-6.34960937E+00
-7.58000E-03,+5.73046875E+00,-6.37890625E+00
-7.56000E-03,+5.76953125E+00,-6.41796875E+00
-7.54000E-03,+5.80859375E+00,-6.45703125E+00
-7.52000E-03,+5.84765625E+00,-6.49609375E+00
-7.50000E-03,+5.88671875E+00,-6.53515625E+00
-7.48000E-03,+5.92578125E+00,-6.57421875E+00
-7.46000E-03,+5.96484375E+00,-6.61328125E+00
-7.44000E-03,+6.00390625E+00,-6.65234375E+00
-7.42000E-03,+6.03320312E+00,-6.69140625E+00
-7.40000E-03,+6.07226562E+00,-6.73046875E+00
-7.38000E-03,+6.11132812E+00,-6.75976562E+00
-7.36000E-03,+6.15039062E+00,-6.80859375E+00
-7.34000E-03,+6.18945312E+00,-6.84765625E+00
-7.32000E-03,+6.22851562E+00,-6.88671875E+00
-7.30000E-03,+6.26757812E+00,-6.92578125E+00
-7.28000E-03,+6.31640625E+00,-6.95507812E+00
-7.26000E-03,+6.34570312E+00,-7.00390625E+00
-7.24000E-03,+6.38476562E+00,-7.04296875E+00
-7.22000E-03,+6.42382812E+00,-7.08203125E+00
-7.20000E-03,+6.46289062E+00,-7.12109375E+00
-7.18000E-03,+6.49218750E+00,-7.16015625E+00
-7.16000E-03,+6.53125000E+00,-7.19921875E+00
-7.14000E-03,+6.57031250E+00,-7.23828125E+00
-7.12000E-03,+6.59960937E+00,-7.26757812E+00
-7.10000E-03,+6.63867187E+00,-7.29687500E+00
-7.08000E-03,+6.67773437E+00,-7.33593750E+00
-7.06000E-03,+6.71679687E+00,-7.37500000E+00
-7.04000E-03,+6.75585937E+00,-7.40429687E+00
-7.02000E-03,+6.79492187E+00,-7.44335937E+00
-7.00000E-03,+6.83398437E+00,-7.48242187E+00
-6.98000E-03,+6.87304687E+00,-7.52148437E+00
-6.96000E-03,+6.91210937E+00,-7.56054687E+00
-6.94000E-03,+6.94140625E+00,-7.59960937E+00
-6.92000E-03,+6.98046875E+00,-7.64843750E+00
-6.90000E-03,+7.01953125E+00,-7.68750000E+00
-6.88000E-03,+7.04882812E+00,-7.72656250E+00
-6.86000E-03,+7.08789062E+00,-7.76562500E+00
-6.84000E-03,+7.11718750E+00,-7.80468750E+00
-6.82000E-03,+7.15625000E+00,-7.84375000E+00
-6.80000E-03,+7.19531250E+00,-7.87304687E+00
-6.78000E-03,+7.23437500E+00,-7.91210937E+00
-6.76000E-03,+7.27343750E+00,-7.95117187E+00
-6.74000E-03,+7.30273437E+00,-7.99023437E+00
-6.72000E-03,+7.34179687E+00,-8.02929687E+00
-6.70000E-03,+7.38085937E+00,-8.06835937E+00
-6.68000E-03,+7.41992187E+00,-8.10742187E+00
-6.66000E-03,+7.46875000E+00,-8.14648437E+00
-6.64000E-03,+7.50781250E+00,-8.18554687E+00
-6.62000E-03,+7.53710937E+00,-8.21484375E+00
-6.60000E-03,+7.57617187E+00,-8.25390625E+00
-6.58000E-03,+7.60546875E+00,-8.29296875E+00
-6.56000E-03,+7.64453125E+00,-8.33203125E+00
-6.54000E-03,+7.68359375E+00,-8.37109375E+00
-6.52000E-03,+7.72265625E+00,-8.40039062E+00
-6.50000E-03,+7.76171875E+00,-8.43945312E+00
-6.48000E-03,+7.80078125E+00,-8.47851562E+00
-6.46000E-03,+7.83984375E+00,-8.50781250E+00
-6.44000E-03,+7.87890625E+00,-8.54687500E+00
-6.42000E-03,+7.91796875E+00,-8.58593750E+00
-6.40000E-03,+7.95703125E+00,-8.62500000E+00
-6.38000E-03,+7.98632812E+00,-8.66406250E+00
-6.36000E-03,+8.02539062E+00,-8.70312500E+00
-6.34000E-03,+8.06445312E+00,-8.73242187E+00
-6.32000E-03,+8.10351562E+00,-8.77148437E+00
-6.30000E-03,+8.14257812E+00,-8.81054687E+00
-6.28000E-03,+8.18164062E+00,-8.84960937E+00
-6.26000E-03,+8.22070312E+00,-8.88867187E+00
-6.24000E-03,+8.25976562E+00,-8.92773437E+00
-6.22000E-03,+8.29882812E+00,-8.96679687E+00
-6.20000E-03,+8.33789062E+00,-9.00585937E+00
-6.18000E-03,+8.37695312E+00,-9.04492187E+00
-6.16000E-03,+8.41601562E+00,-9.08398437E+00
-6.14000E-03,+8.45507812E+00,-9.12304687E+00
-6.12000E-03,+8.49414062E+00,-9.15234375E+00
-6.10000E-03,+8.52343750E+00,-9.19140625E+00
-6.08000E-03,+8.56250000E+00,-9.23046875E+00
-6.06000E-03,+8.60156250E+00,-9.25976562E+00
