x-axis,IN,OUT
second,Volt,Volt
-7.82000E-03,+5.29101562E+00,-5.91992187E+00
-7.80000E-03,+5.33007812E+00,-5.95898437E+00
-7.78000E-03,+5.35937500E+00,-5.99804687E+00
-7.76000E-03,+5.39843750E+00,-6.03710937E+00
-7.74000E-03,+5.43750000E+00,-6.07617187E+00
-7.72000E-03,+5.47656250E+00,-6.11523437E+00
-7.70000E-03,+5.51562500E+00,-6.15429687E+00
-7.68000E-03,+5.56445312E+00,-6.19335937E+00
-7.66000E-03,+5.59375000E+00,-6.23242187E+00
-7.64000E-03,+5.63281250E+00,-6.27148437E+00
-7.62000E-03,+5.66210937E+00,-6.31054687E+00
-7.60000E-03,+5.70117187E+00,-6.34960937E+00
-7.58000E-03,+5.74023437E+00,-6.38867187E+00
-7.56000E-03,+5.77929687E+00,-6.41796875E+00
-7.54000E-03,+5.81835937E+00,-6.45703125E+00
-7.52000E-03,+5.85742187E+00,-6.49609375E+00
-7.50000E-03,+5.89648437E+00,-6.53515625E+00
-7.48000E-03,+5.93554687E+00,-6.57421875E+00
-7.46000E-03,+5.97460937E+00,-6.61328125E+00
-7.44000E-03,+6.01367187E+00,-6.65234375E+00
-7.42000E-03,+6.04296875E+00,-6.69140625E+00
-7.40000E-03,+6.08203125E+00,-6.73046875E+00
-7.38000E-03,+6.12109375E+00,-6.76953125E+00
-7.36000E-03,+6.16015625E+00,-6.80859375E+00
-7.34000E-03,+6.19921875E+00,-6.84765625E+00
-7.32000E-03,+6.22851562E+00,-6.88671875E+00
-7.30000E-03,+6.27734375E+00,-6.92578125E+00
-7.28000E-03,+6.31640625E+00,-6.96484375E+00
-7.26000E-03,+6.35546875E+00,-7.00390625E+00
-7.24000E-03,+6.39453125E+00,-7.03320312E+00
-7.22000E-03,+6.43359375E+00,-7.08203125E+00
-7.20000E-03,+6.46289062E+00,-7.12109375E+00
-7.18000E-03,+6.50195312E+00,-7.16015625E+00
-7.16000E-03,+6.54101562E+00,-7.19921875E+00
-7.14000E-03,+6.57031250E+00,-7.23828125E+00
-7.12000E-03,+6.60937500E+00,-7.26757812E+00
-7.10000E-03,+6.64843750E+00,-7.30664062E+00
-7.08000E-03,+6.68750000E+00,-7.33593750E+00
-7.06000E-03,+6.72656250E+00,-7.37500000E+00
-7.04000E-03,+6.76562500E+00,-7.41406250E+00
-7.02000E-03,+6.80468750E+00,-7.44335937E+00
-7.00000E-03,+6.84375000E+00,-7.48242187E+00
-6.98000E-03,+6.87304687E+00,-7.52148437E+00
-6.96000E-03,+6.92187500E+00,-7.57031250E+00
-6.94000E-03,+6.95117187E+00,-7.60937500E+00
-6.92000E-03,+6.99023437E+00,-7.64843750E+00
-6.90000E-03,+7.01953125E+00,-7.68750000E+00
-6.88000E-03,+7.05859375E+00,-7.72656250E+00
-6.86000E-03,+7.08789062E+00,-7.76562500E+00
-6.84000E-03,+7.12695312E+00,-7.80468750E+00
-6.82000E-03,+7.16601562E+00,-7.84375000E+00
-6.80000E-03,+7.20507812E+00,-7.87304687E+00
-6.78000E-03,+7.24414062E+00,-7.91210937E+00
-6.76000E-03,+7.28320312E+00,-7.95117187E+00
-6.74000E-03,+7.31250000E+00,-7.99023437E+00
