x-axis,IN,OUT
second,Volt,Volt
-7.82000E-03,+5.37890625E+00,-14.08398438E+00
-7.80000E-03,+5.41796875E+00,-14.08398438E+00
-7.78000E-03,+5.45703125E+00,-14.08398438E+00
-7.76000E-03,+5.49609375E+00,-14.08398438E+00
-7.74000E-03,+5.53515625E+00,-14.08398438E+00
-7.72000E-03,+5.57421875E+00,-14.08398438E+00
-7.70000E-03,+5.61328125E+00,-14.08398438E+00
-7.68000E-03,+5.64257812E+00,-14.08398438E+00
-7.66000E-03,+5.68164062E+00,-14.08398438E+00
-7.64000E-03,+5.72070312E+00,-14.08398438E+00
-7.62000E-03,+5.75976562E+00,-14.08398438E+00
-7.60000E-03,+5.79882812E+00,-14.08398438E+00
-7.58000E-03,+5.84765625E+00,-14.08398438E+00
-7.56000E-03,+5.88671875E+00,-14.08398438E+00
-7.54000E-03,+5.91601562E+00,-14.08398438E+00
-7.52000E-03,+5.95507812E+00,-14.08398438E+00
-7.50000E-03,+5.99414062E+00,-14.08398438E+00
-7.48000E-03,+6.03320312E+00,-14.08398438E+00
-7.46000E-03,+6.07226562E+00,-14.08398438E+00
-7.44000E-03,+6.11132812E+00,-14.08398438E+00
-7.42000E-03,+6.15039062E+00,-14.08398438E+00
-7.40000E-03,+6.17968750E+00,-14.08398438E+00
-7.38000E-03,+6.21875000E+00,-14.08398438E+00
-7.36000E-03,+6.26757812E+00,-14.08398438E+00
-7.34000E-03,+6.30664062E+00,-14.08398438E+00
-7.32000E-03,+6.34570312E+00,-14.08398438E+00
-7.30000E-03,+6.38476562E+00,-14.08398438E+00
-7.28000E-03,+6.42382812E+00,-14.08398438E+00
-7.26000E-03,+6.46289062E+00,-14.08398438E+00
-7.24000E-03,+6.49218750E+00,-14.08398438E+00
-7.22000E-03,+6.53125000E+00,-14.08398438E+00
-7.20000E-03,+6.57031250E+00,-14.08398438E+00
-7.18000E-03,+6.60937500E+00,-14.08398438E+00
-7.16000E-03,+6.64843750E+00,-14.08398438E+00
-7.14000E-03,+6.68750000E+00,-14.08398438E+00
-7.12000E-03,+6.72656250E+00,-14.08398438E+00
-7.10000E-03,+6.76562500E+00,-14.08398438E+00
-7.08000E-03,+6.80468750E+00,-14.08398438E+00
-7.06000E-03,+6.84375000E+00,-14.08398438E+00
-7.04000E-03,+6.88281250E+00,-14.08398438E+00
-7.02000E-03,+6.92187500E+00,-14.08398438E+00
-7.00000E-03,+6.96093750E+00,-14.08398438E+00
-6.98000E-03,+6.99023437E+00,-14.08398438E+00
-6.96000E-03,+7.02929687E+00,-14.08398438E+00
-6.94000E-03,+7.06835937E+00,-14.08398438E+00
-6.92000E-03,+7.09765625E+00,-14.08398438E+00
-6.90000E-03,+7.13671875E+00,-14.08398438E+00
-6.88000E-03,+7.17578125E+00,-14.08398438E+00
-6.86000E-03,+7.21484375E+00,-14.08398438E+00
-6.84000E-03,+7.25390625E+00,-14.08398438E+00
-6.82000E-03,+7.29296875E+00,-14.08398438E+00
-6.80000E-03,+7.33203125E+00,-14.08398438E+00
-6.78000E-03,+7.37109375E+00,-14.08398438E+00
-6.76000E-03,+7.41015625E+00,-14.08398438E+00
-6.74000E-03,+7.44921875E+00,-14.08398438E+00
-6.72000E-03,+7.48828125E+00,-14.08398438E+00
-6.70000E-03,+7.52734375E+00,-14.08398438E+00
-6.68000E-03,+7.56640625E+00,-14.08398438E+00
-6.66000E-03,+7.59570312E+00,-14.08398438E+00
-6.64000E-03,+7.63476562E+00,-14.08398438E+00
-6.62000E-03,+7.67382812E+00,-14.08398438E+00
-6.60000E-03,+7.71289062E+00,-14.08398438E+00
-6.58000E-03,+7.75195312E+00,-14.08398438E+00
-6.56000E-03,+7.79101562E+00,-14.08398438E+00
-6.54000E-03,+7.83007812E+00,-14.08398438E+00
-6.52000E-03,+7.86914062E+00,-14.08398438E+00
-6.50000E-03,+7.90820312E+00,-14.08398438E+00
-6.48000E-03,+7.94726562E+00,-14.08398438E+00
-6.46000E-03,+7.98632812E+00,-14.08398438E+00
-6.44000E-03,+8.01562500E+00,-14.08398438E+00
-6.42000E-03,+8.05468750E+00,-14.08398438E+00
-6.40000E-03,+8.09375000E+00,-14.08398438E+00
-6.38000E-03,+8.14257812E+00,-14.08398438E+00
-6.36000E-03,+8.18164062E+00,-14.08398438E+00
-6.34000E-03,+8.22070312E+00,-14.08398438E+00
-6.32000E-03,+8.25976562E+00,-14.08398438E+00
-6.30000E-03,+8.29882812E+00,-14.08398438E+00
-6.28000E-03,+8.33789062E+00,-14.08398438E+00
-6.26000E-03,+8.37695312E+00,-14.08398438E+00
-6.24000E-03,+8.41601562E+00,-14.08398438E+00
-6.22000E-03,+8.45507812E+00,-14.08398438E+00
-6.20000E-03,+8.49414062E+00,-14.08398438E+00
-6.18000E-03,+8.52343750E+00,-14.08398438E+00
-6.16000E-03,+8.56250000E+00,-14.08398438E+00
-6.14000E-03,+8.60156250E+00,-14.08398438E+00
-6.12000E-03,+8.65039062E+00,-14.08398438E+00
-6.10000E-03,+8.67968750E+00,-14.08398438E+00
-6.08000E-03,+8.71875000E+00,-14.08398438E+00
-6.06000E-03,+8.75781250E+00,-14.08398438E+00
-6.04000E-03,+8.79687500E+00,-14.08398438E+00
-6.02000E-03,+8.83593750E+00,-14.08398438E+00
-6.00000E-03,+8.87500000E+00,-14.08398438E+00
-5.98000E-03,+8.91406250E+00,-14.08398438E+00
-5.96000E-03,+8.95312500E+00,-14.08398438E+00
-5.94000E-03,+8.99218750E+00,-14.08398438E+00
-5.92000E-03,+9.04101562E+00,-14.08398438E+00
-5.90000E-03,+9.08007812E+00,-14.08398438E+00
-5.88000E-03,+7.13671875E+00,-14.08398438E+00
-5.86000E-03,-6.91601562E+00,-14.10351562E+00
-5.84000E-03,-10.15820312E+00,-13.95703125E+00
-5.82000E-03,-10.13867188E+00,-10.56835938E+00
-5.80000E-03,-10.09960938E+00,-3.12695313E+00
-5.78000E-03,-10.05078125E+00,+3.59179687E+00
-5.76000E-03,-10.00195313E+00,+10.91601562E+00
-5.74000E-03,-9.96289063E+00,+13.12304687E+00
-5.72000E-03,-9.92382813E+00,+13.13281250E+00
-5.70000E-03,-9.88476563E+00,+13.14257813E+00
-5.68000E-03,-9.84570313E+00,+13.14257813E+00
-5.66000E-03,-9.79687500E+00,+13.15234375E+00
-5.64000E-03,-9.75781250E+00,+13.15234375E+00
-5.62000E-03,-9.70898438E+00,+13.15234375E+00
-5.60000E-03,-9.67968750E+00,+13.15234375E+00
-5.58000E-03,-9.63085938E+00,+13.15234375E+00
-5.56000E-03,-9.59179688E+00,+13.15234375E+00
-5.54000E-03,-9.55273438E+00,+13.15234375E+00
-5.52000E-03,-9.51367188E+00,+13.14257813E+00
-5.50000E-03,-9.47460938E+00,+13.14257813E+00
-5.48000E-03,-9.43554688E+00,+13.14257813E+00
-5.46000E-03,-9.39648438E+00,+13.14257813E+00
-5.44000E-03,-9.35742188E+00,+13.14257813E+00
-5.42000E-03,-9.31835938E+00,+13.14257813E+00
-5.40000E-03,-9.27929688E+00,+13.14257813E+00
-5.38000E-03,-9.24023438E+00,+13.14257813E+00
-5.36000E-03,-9.20117188E+00,+13.14257813E+00
-5.34000E-03,-9.16210938E+00,+13.14257813E+00
-5.32000E-03,-9.12304688E+00,+13.14257813E+00
-5.30000E-03,-9.08398438E+00,+13.14257813E+00
-5.28000E-03,-9.04492188E+00,+13.14257813E+00
-5.26000E-03,-9.00585938E+00,+13.14257813E+00
-5.24000E-03,-8.96679688E+00,+13.14257813E+00
-5.22000E-03,-8.92773438E+00,+13.14257813E+00
-5.20000E-03,-8.89843750E+00,+13.14257813E+00
-5.18000E-03,-8.85937500E+00,+13.13281250E+00
-5.16000E-03,-8.81054688E+00,+13.13281250E+00
-5.14000E-03,-8.78125000E+00,+13.13281250E+00
-5.12000E-03,-8.74218750E+00,+13.14257813E+00
-5.10000E-03,-8.70312500E+00,+13.14257813E+00
-5.08000E-03,-8.66406250E+00,+13.14257813E+00
-5.06000E-03,-8.62500000E+00,+13.13281250E+00
-5.04000E-03,-8.58593750E+00,+13.13281250E+00
-5.02000E-03,-8.54687500E+00,+13.13281250E+00
-5.00000E-03,-8.51757813E+00,+13.13281250E+00
-4.98000E-03,-8.47851563E+00,+13.13281250E+00
-4.96000E-03,-8.42968750E+00,+13.14257813E+00
-4.94000E-03,-8.39062500E+00,+13.13281250E+00
-4.92000E-03,-8.36132813E+00,+13.14257813E+00
-4.90000E-03,-8.32226563E+00,+13.14257813E+00
-4.88000E-03,-8.29296875E+00,+13.14257813E+00
-4.86000E-03,-8.26367188E+00,+13.14257813E+00
-4.84000E-03,-8.22460938E+00,+13.14257813E+00
-4.82000E-03,-8.19531250E+00,+13.13281250E+00
-4.80000E-03,-8.14648438E+00,+13.14257813E+00
-4.78000E-03,-8.10742188E+00,+13.13281250E+00
-4.76000E-03,-8.06835938E+00,+13.13281250E+00
-4.74000E-03,-8.02929688E+00,+13.14257813E+00
-4.72000E-03,-7.99023438E+00,+13.14257813E+00
-4.70000E-03,-7.95117188E+00,+13.14257813E+00
-4.68000E-03,-7.91210938E+00,+13.14257813E+00
-4.66000E-03,-7.87304688E+00,+13.14257813E+00
-4.64000E-03,-7.83398438E+00,+13.14257813E+00
-4.62000E-03,-7.78515625E+00,+13.14257813E+00
-4.60000E-03,-7.75585938E+00,+13.14257813E+00
-4.58000E-03,-7.71679688E+00,+13.14257813E+00
-4.56000E-03,-7.67773438E+00,+13.14257813E+00
-4.54000E-03,-7.63867188E+00,+13.14257813E+00
-4.52000E-03,-7.59960938E+00,+13.14257813E+00
-4.50000E-03,-7.56054688E+00,+13.14257813E+00
-4.48000E-03,-7.53125000E+00,+13.14257813E+00
-4.46000E-03,-7.49218750E+00,+13.14257813E+00
-4.44000E-03,-7.45312500E+00,+13.14257813E+00
-4.42000E-03,-7.41406250E+00,+13.13281250E+00
-4.40000E-03,-7.37500000E+00,+13.14257813E+00
-4.38000E-03,-7.33593750E+00,+13.14257813E+00
-4.36000E-03,-7.29687500E+00,+13.14257813E+00
-4.34000E-03,-7.24804688E+00,+13.14257813E+00
-4.32000E-03,-7.20898438E+00,+13.14257813E+00
-4.30000E-03,-7.16992188E+00,+13.14257813E+00
-4.28000E-03,-7.13085938E+00,+13.14257813E+00
-4.26000E-03,-7.09179688E+00,+13.14257813E+00
-4.24000E-03,-7.05273438E+00,+13.14257813E+00
-4.22000E-03,-7.01367188E+00,+13.14257813E+00
-4.20000E-03,-6.97460938E+00,+13.14257813E+00
-4.18000E-03,-6.93554688E+00,+13.14257813E+00
-4.16000E-03,-6.89648438E+00,+13.14257813E+00
